Key,en,zh-Hant,reviewed
Eyelash Length,Eyelash Length,,False
Brows Distance,Brows Distance,,False
Brows Height,Brows Height,,False
Ear Shape 1,Ear Shape 1,,False
Ear Shape 2,Ear Shape 2,,False
Hair Bang >< Length,Hair Bang >< Length,,False
Hair Bang >< Shear,Hair Bang >< Shear,,False
Hair Bang >> Position,Hair Bang >> Position,,False
Hair Bang >> Length,Hair Bang >> Length,,False
Hair Bang >> Shear,Hair Bang >> Shear,,False
Hair Bang << Position,Hair Bang << Position,,False
Hair Bang << Length,Hair Bang << Length,,False
Hair Bang << Shear,Hair Bang << Shear,,False
Hair Framing << Length,Hair Framing << Length,,False
Hair Framing >> Length,Hair Framing >> Length,,False
Hair Side Length,Hair Side Length,,False
Hair Rear Length,Hair Rear Length,,False
Ahoge Position,Ahoge Position,,False
Ahoge Angle,Ahoge Angle,,False
Animal Ear & Antenna Position,Animal Ear & Antenna Position,,False
Fin & Gill Position,Fin & Gill Position,,False
Halo Position,Halo Position,,False
Hat Position,Hat Position,,False
Horn >> Length,Horn >> Length,,False
Horn << Length,Horn << Length,,False
Horn >< Length,Horn >< Length,,False
Horn Position,Horn Position,,False
Ear Wing Position,Ear Wing Position,,False
